# 조사팀 2026-08-25 · 기관 DB 1회차
한국청소년활동진흥원 | 공공 | 전국 | https://www.kywa.or.kr | | 문화체험,공모전·대회 | 17개 시도 청소년활동진흥센터 주관기관. 실장 확인 503 — 우리 쪽에서만 막힘
경기도청소년상담복지센터 | 지역거점 | 경기 | https://www.hi1318.or.kr | | 심리상담 | 시도 대표. 실장 확인 503 — 우리 쪽에서만 막힘
강원특별자치도청소년상담복지센터 | 지역거점 | 강원 | https://www.gycc.org | | 심리상담 | 시도 대표. 실장 확인 200
충청북도청소년상담복지센터 | 지역거점 | 충북 | https://1388.cbyouth.net | | 심리상담 | 시도 대표. 실장 확인 200
충청남도청소년상담복지센터 | 지역거점 | 충남 | https://cnyouth.or.kr | | 심리상담 | 시도 대표. 실장 확인 연결 안 됨. 주소는 성평등가족부 공식 CSV에 적힌 것
전라북도청소년상담복지센터 | 지역거점 | 전북 | https://www.jb1388.kr | | 심리상담 | 시도 대표. 실장 확인 200
전라남도청소년상담복지센터 | 지역거점 | 전남 | https://www.jnyouth.or.kr | | 심리상담 | 시도 대표. 실장 확인 연결 안 됨. 주소는 성평등가족부 공식 CSV에 적힌 것
경상북도청소년상담복지센터 | 지역거점 | 경북 | https://gb1388.or.kr | | 심리상담 | 시도 대표. 실장 확인 200
경상남도청소년상담복지센터 | 지역거점 | 경남 | https://gn1388.gnyouth.net | | 심리상담 | 시도 대표. 실장 확인 200
제주특별자치도청소년상담복지센터 | 지역거점 | 제주 | https://www.jeju1388.or.kr | | 심리상담 | 시도 대표. 실장 확인 503 — 우리 쪽에서만 막힘
관악청소년자립지원관(들꽃) | 지역거점 | 서울 | https://www.youthil.or.kr | | 주거 | 자립지원관. 실장 확인 503 — 우리 쪽에서만 막힘
서울시립청소년자립지원관 | 지역거점 | 서울 | | | 주거 | 홈페이지 못 찾음. 전화 02-6959-5012
대구광역시청소년자립지원관 | 지역거점 | 대구 | | | 주거 | 홈페이지 못 찾음. 전화 053-657-1924
인천시청소년자립지원관(별바라기) | 지역거점 | 인천 | | | 주거 | 홈페이지 못 찾음. 전화 032-875-1319
인천시청소년자립지원관(행복자리) | 지역거점 | 인천 | | | 주거 | 홈페이지 못 찾음. 전화 032-467-1398
대전청소년자립지원관 | 지역거점 | 대전 | | | 주거 | 홈페이지 못 찾음. 전화 042-482-1924
경기남부청소년자립지원관 | 지역거점 | 경기 | | | 주거 | 홈페이지 못 찾음. 전화 031-360-1824
경기북부청소년자립지원관 | 지역거점 | 경기 | | | 주거 | 홈페이지 못 찾음. 전화 031-928-1316
성남시청소년자립지원관 | 지역거점 | 경기 | | | 주거 | 홈페이지 못 찾음. 전화 031-723-7942
천안청소년자립지원관 | 지역거점 | 충남 | | | 주거 | 홈페이지 못 찾음. 전화 041-578-1380
제주특별자치도청소년자립지원관 | 지역거점 | 제주 | | | 주거 | 홈페이지 못 찾음. 전화 064-721-1824
강릉시청소년자립지원관 | 지역거점 | 강원 | | | 주거 | 홈페이지 못 찾음. 전화 033-646-1424
GS칼텍스재단 | 기업재단 | 전국 | https://www.gscf.or.kr | | 문화체험,교육 | 공고 위치 미확인. 실장 확인 200
IBK행복나눔재단 | 기업재단 | 전국 | https://www.ibkfoundation.or.kr | | | 공고 위치 미확인. 실장 확인 200
롯데재단 | 기업재단 | 전국 | https://www.lottefoundation.or.kr | | | 아동 중심. 14세 이상 대상 확인 필요. 실장 확인 200
신한금융희망재단 | 기업재단 | 전국 | https://www.shinhanfoundation.or.kr | | | 신한장학재단과 별개 법인. 실장 확인 200
삼성복지재단 | 기업재단 | 전국 | https://samsungwelfare.org | | | 공고 위치 미확인. 실장 확인 200
넥슨재단 | 기업재단 | 전국 | https://nexonfoundation.org | | | 공고 위치 미확인. 실장 확인 200
CJ나눔재단 | 기업재단 | 전국 | https://www.donorscamp.org | | 교육,문화체험 | 도너스캠프. 청소년 문화동아리·꿈키움 장학. 실장 확인 200
현대차정몽구재단 | 기업재단 | 전국 | https://www.cmkfoundation-scholarship.org | | 교육 | 장학생 선발 전용 사이트. 실장 확인 200
SK행복나눔재단 | 기업재단 | 전국 | https://skhappiness.org | | | 자립·청년 중심. 14세 대상 여부 확인 필요. 실장 확인 200
아모레퍼시픽공감재단 | 기업재단 | 전국 | https://awf.amorepacific.co.kr | | | 청년 중심. 14세 포함 여부 확인 필요. 실장 확인 연결 안 됨. amorepacific.co.kr 본체도 안 닿아 우리 쪽 문제로 보임
아모레퍼시픽재단 | 기업재단 | 전국 | https://ascf.amorepacific.co.kr | | 교육 | 학술연구·장학. 실장 확인 200
서울특별시청소년활동진흥센터 | 공공 | 서울 | https://www.sy0404.or.kr | | 문화체험,공모전·대회 | 주소 재확인 필요. 실장 확인 200
광주광역시청소년활동진흥센터 | 공공 | 광주 | http://www.gjc.kr | | 문화체험,공모전·대회 | 명칭·주소 재확인 필요. 실장 확인 http 200 (https는 안 열림). 명칭 재확인 필요
세종특별자치시청소년활동진흥센터 | 공공 | 세종 | https://www2.sejong.go.kr/youth | | 문화체험,공모전·대회 | 지자체 직영 포털. 실장 확인 200
